Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
6877.054089,6954.978724,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot57@10.200.110.100:8557>,SIP,12:01:17 AM,7,COMPLETED,INVITE 200
6936.890347,6936.908025,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
7237.008118,7323.975652,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:01:26 AM,10,COMPLETED,INVITE 401 200
7237.02114,7323.989357,10.200.110.111,"""bot51","<sip:bot51@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:01:26 AM,7,COMPLETED,INVITE 200
7297.016759,7379.8758,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:01:22 AM,10,COMPLETED,INVITE 401 200
7297.028192,7379.882767,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:01:22 AM,7,COMPLETED,INVITE 200
7357.104542,7414.528712,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:57 AM,10,COMPLETED,INVITE 401 200
7357.116182,7414.536577,10.200.110.111,"""bot60","<sip:bot60@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:00:57 AM,7,COMPLETED,INVITE 200
7417.051247,7466.912793,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot58@10.200.110.111>,SIP,12:00:49 AM,10,COMPLETED,INVITE 401 200
7417.109037,7466.930319,10.200.110.111,"""bot54","<sip:bot54@10.200.110.111>""",<sip:bot58@10.200.110.100:8558>,SIP,12:00:49 AM,7,COMPLETED,INVITE 200
7537.029464,7601.364673,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot57@10.200.110.111>,SIP,12:01:04 AM,10,COMPLETED,INVITE 401 200
7537.094627,7601.381845,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot57@10.200.110.100:8557>,SIP,12:01:04 AM,7,COMPLETED,INVITE 200
7596.883663,7621.623199,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot58@10.200.110.111>,SIP,12:00:24 AM,10,COMPLETED,INVITE 401 200
7596.896445,7621.630968,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot58@10.200.110.100:8558>,SIP,12:00:24 AM,7,COMPLETED,INVITE 200
7716.955558,7803.062765,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:01:26 AM,10,COMPLETED,INVITE 401 200
7716.961361,7803.078914,10.200.110.111,"""bot55","<sip:bot55@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:01:26 AM,7,COMPLETED,INVITE 200
7897.096178,7897.263204,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot61@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
7956.899141,8013.141935,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:56 AM,10,COMPLETED,INVITE 401 200
7956.910992,8013.160023,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:56 AM,7,COMPLETED,INVITE 200
8077.05133,8104.811953,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:00:27 AM,10,COMPLETED,INVITE 401 200
8077.06267,8104.829848,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:00:27 AM,7,COMPLETED,INVITE 200
8077.114441,8115.612057,10.200.110.100,"""bot60","<sip:bot60@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:38 AM,10,COMPLETED,INVITE 401 200
8077.125548,8115.628752,10.200.110.111,"""bot60","<sip:bot60@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:00:38 AM,7,COMPLETED,INVITE 200
8137.080499,8216.681071,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:01:19 AM,10,COMPLETED,INVITE 401 200
8137.091806,8216.698185,10.200.110.111,"""bot58","<sip:bot58@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:01:19 AM,7,COMPLETED,INVITE 200
8257.060968,8257.076775,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
8317.015746,8339.603505,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:00:22 AM,10,COMPLETED,INVITE 401 200
8317.026538,8339.620823,10.200.110.111,"""bot51","<sip:bot51@10.200.110.111>""",<sip:bot51@10.200.110.100:8551>,SIP,12:00:22 AM,7,COMPLETED,INVITE 200
8497.023863,8553.398579,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot50@10.200.110.111>,SIP,12:00:56 AM,10,COMPLETED,INVITE 401 200
8497.114911,8553.416233,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:00:56 AM,7,COMPLETED,INVITE 200
8676.963046,8676.979775,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot62@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
8677.105736,8743.752753,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot57@10.200.110.111>,SIP,12:01:06 AM,10,COMPLETED,INVITE 401 200
8677.260707,8743.770798,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot57@10.200.110.100:8557>,SIP,12:01:06 AM,7,COMPLETED,INVITE 200
8736.892973,8816.97996,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:01:20 AM,10,COMPLETED,INVITE 401 200
8736.902567,8816.996309,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:01:20 AM,7,COMPLETED,INVITE 200
