Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
6359.965171,6359.989935,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6419.862807,6979.353451,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:09:19 AM,10,COMPLETED,INVITE 401 200
6420.009332,6739.233346,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot42@10.200.110.111>,SIP,12:05:19 AM,10,COMPLETED,INVITE 401 200
6420.014745,6739.250039,10.200.110.111,"""bot25"" <sip:bot25@10.200.110.111>",<sip:bot42@10.200.110.100:8542>,SIP,12:05:19 AM,7,COMPLETED,INVITE 200
6479.890978,6479.897901,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot24@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6480.048586,6679.686954,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:03:19 AM,10,COMPLETED,INVITE 401 200
6480.054547,6679.70442,10.200.110.111,"""bot39"" <sip:bot39@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:03:19 AM,7,COMPLETED,INVITE 200
6839.920823,7149.943192,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:05:10 AM,10,COMPLETED,INVITE 401 200
6840.034011,6982.067922,10.200.110.111,"""bot44"" <sip:bot44@10.200.110.111>",<sip:bot45@10.200.110.100:8545>,SIP,12:02:22 AM,7,COMPLETED,INVITE 200
6899.761099,7394.424593,10.200.110.111,"""bot26"" <sip:bot26@10.200.110.111>",<sip:bot39@10.200.110.100:8539>,SIP,12:08:14 AM,7,COMPLETED,INVITE 200
6899.971939,7031.5773,10.200.110.100,"""bot37"" <sip:bot37@10.200.110.100>",<sip:bot34@10.200.110.111>,SIP,12:02:11 AM,10,COMPLETED,INVITE 401 200
6899.97745,7031.594473,10.200.110.111,"""bot37"" <sip:bot37@10.200.110.111>",<sip:bot34@10.200.110.100:8534>,SIP,12:02:11 AM,7,COMPLETED,INVITE 200
6959.78833,6959.8014,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot24@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6960.009813,7273.842912,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot32@10.200.110.111>,SIP,12:05:13 AM,10,COMPLETED,INVITE 401 200
7019.817433,7019.824139,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
7019.900824,7019.90284,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
7020.036711,7397.931272,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:06:17 AM,7,COMPLETED,INVITE 200
7020.036878,7335.914674,10.200.110.111,"""bot35"" <sip:bot35@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:05:15 AM,7,COMPLETED,INVITE 200
7139.767304,7628.380284,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot36@10.200.110.111>,SIP,12:08:08 AM,10,COMPLETED,INVITE 401 200
7139.916036,7325.418984,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot42@10.200.110.111>,SIP,12:03:05 AM,10,COMPLETED,INVITE 401 200
7139.92774,7325.425728,10.200.110.111,"""bot45"" <sip:bot45@10.200.110.111>",<sip:bot42@10.200.110.100:8542>,SIP,12:03:05 AM,7,COMPLETED,INVITE 200
7259.864427,7271.050581,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot25@10.200.110.111>,SIP,12:00:11 AM,7,REJECTED,INVITE 401 486
7259.940563,7271.045669,10.200.110.111,"""bot42"" <sip:bot42@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:00:11 AM,4,REJECTED,INVITE 486
7379.967087,7936.355199,10.200.110.111,"""bot30"" <sip:bot30@10.200.110.111>",<sip:bot38@10.200.110.100:8538>,SIP,12:09:16 AM,7,COMPLETED,INVITE 200
7380.013341,7946.058289,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot33@10.200.110.111>,SIP,12:09:26 AM,10,COMPLETED,INVITE 401 200
7380.018937,7946.075266,10.200.110.111,"""bot25"" <sip:bot25@10.200.110.111>",<sip:bot33@10.200.110.100:8533>,SIP,12:09:26 AM,7,COMPLETED,INVITE 200
7619.90494,7619.910974,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot24@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
7619.921595,7622.959871,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot38@10.200.110.100:8538>,SIP,12:00:03 AM,4,REJECTED,INVITE 486
7679.934571,7813.743228,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot26@10.200.110.111>,SIP,12:02:13 AM,10,COMPLETED,INVITE 401 200
7859.870004,8362.258937,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:08:22 AM,10,COMPLETED,INVITE 401 200
7860.051279,8173.518615,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot25@10.200.110.111>,SIP,12:05:13 AM,10,COMPLETED,INVITE 401 200
7860.056976,8173.525605,10.200.110.111,"""bot39"" <sip:bot39@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:05:13 AM,7,COMPLETED,INVITE 200
8099.79778,8586.173229,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot35@10.200.110.111>,SIP,12:08:06 AM,10,COMPLETED,INVITE 401 200
8099.826583,8099.840377,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
8159.896586,8468.415695,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot45@10.200.110.111>,SIP,12:05:08 AM,10,COMPLETED,INVITE 401 200
8160.060106,8468.432799,10.200.110.111,"""bot38"" <sip:bot38@10.200.110.111>",<sip:bot45@10.200.110.100:8545>,SIP,12:05:08 AM,7,COMPLETED,INVITE 200
8219.875265,8472.11134,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot39@10.200.110.111>,SIP,12:04:12 AM,10,COMPLETED,INVITE 401 200
